_id,teamName,clubName,companyNumber,street,city,zipCode,region,web,facebook,instagram,contactPerson,contactEmail,contactPhone,isActive
5fb1b5b0fd59569d415ce2a4,BMX & 4X TEAM BRNO,NaN,NaN,Vrátná 369/13,Brno,642 00,Jihomoravský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2a5,AMK BMX STUDÉNKA,NaN,NaN,Tovární 360,Studénka,742 13,Moravskoslezský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2a6,NIŽBOR RACING TEAM,NaN,NaN,Křivoklátská 26,Nižbor,267 05,Středočeský,NaN,,,Martin Barabáš,NaN,NaN,true
5fb1b5b0fd59569d415ce2a7,BIKE TEAM VYŠKOV,NaN,NaN,Karla Čapka 335/109,Nosálovice,682 01,Jihomoravský,NaN,,,Pavel Otevřel,Pavel.Otevrel@reprofit.cz,+420 736 473 653,true
5fb1b5b0fd59569d415ce2a8,B4 TEAM,NaN,NaN,U Splavu 761,Rapotín,788 13,Olomoucký,NaN,,,Michal Nevrkla,bizon72@seznam.cz,+420 725 613 638,true
5fb1b5b0fd59569d415ce2a9,LAGUNA CYCLES TEAM,NaN,NaN,Bezručova,Přerov,750 02,Olomoucký,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2aa,CYKLOTEAM ABOS,NaN,NaN,Na Zelince 137,Lipník nad Bečvou,751 31,Olomoucký,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2ab,FOXHOLESHOP.CZ,NaN,NaN,Jana Zajíce,Pardubice,530 12,Parbubický,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2ac,MSK BENEŠOV NAD PLOUČNICÍ,NaN,NaN,Sokolský vrch 276,Benešov nad Ploučnicí,407 22,Ústecký,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2ad,OK TEAM,NaN,NaN,Chlumín 49,Chlumín,277 43,Středočeský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2ae,BMX OSTRAVA,NaN,NaN,Ahepjukova 2790/1,Moravská Ostrava,702 00,Moravskoslezský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2af,AUTOKLUB BMX TEAM DOBŘANY,NaN,NaN,.,Dobřany,321 00,Plzeňský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2b0,BMX MOPED KLUB PROTIVÍN,NaN,NaN,.,Protivín,398 11,Jihočeský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2b1,BIKESTRIKE.COM,NaN,NaN,Košumberk 24,Dobřejovice,251 01,Středočeský,NaN,,,NaN,NaN,NaN,true
5fb1b5b0fd59569d415ce2b2,LAGUNA BIKE TEAM PŘEROV,NaN,NaN,Přerov 3160,Přerov,750 02,Olomoucký,NaN,,,NaN,NaN,NaN,true
